layer,num_samples,auroc,avg_score
0,330,0.4608904059844578,0.4683432473829298
1,330,0.4535550875154332,0.3152167431671511
2,330,0.4846394073643692,0.1119218514704478
3,330,0.4958239523567434,0.08627032093341272
4,330,0.48994117219841676,0.07821289577493162
5,330,0.49342726414409177,0.11524130667429276
6,330,0.49749437141404607,0.09749656134195957
7,330,0.49538819086353403,0.10789507585202844
8,330,0.49226523349553347,0.11851821779123521
9,330,0.48347737671581087,0.11169655042397084
10,330,0.47657781973999563,0.09674566539134971
11,330,0.4875444839857651,0.10461554935865217
